smiles,cluster,silhouette
C1NCC12CNO2,10.0,0.20505880747923463
C1NCC12CNC2,8.0,0.09522780541684138
C1NCC12COC2,10.0,-0.1898191058897813
C1CC2(CNC2)N1,8.0,0.36179567661606704
C1CNC2(C1)CNC2,3.0,-0.6025021012856684
C1CSC2(CNC2)N1,6.0,0.2588183821664884
C1CC2(CCN2)CN1,1.0,0.0
C1CNC2(C1)CCNC2,12.0,0.41551880648410605
C1CCC2(CCNC2)NC1,13.0,0.21244267189725927
C1CC2(CCN1)NCCO2,5.0,0.2093853583924529
C1CNCC2(C1)CNC2,12.0,0.5137208632266497
C1CC2(CCN1)CCN2,12.0,0.3974750771538509
C1COCC2(CNC2)N1,5.0,0.5109726126147128
C1COC2(CN1)CNC2,5.0,0.5299425182442336
C1CNC2(CNC2)OC1,5.0,0.6303743654796995
C1CNCC2(C1)CCCN2,14.0,0.32608151552786646
C1COC2(CCNC2)CN1,5.0,0.5866645219539701
C1CCC2(CCNCC2)NC1,13.0,0.11818961421315607
C1CCC2(CNC1)CNC2,14.0,0.2764662466130705
C1CNC2(CC2)CN1,2.0,0.0
C1CCC2(C1)CNCCN2,13.0,-0.07991227886034398
C1CC2CNC1CN2,16.0,0.2747476159335119
C1CC2CNCC1N2,16.0,0.24234296602407815
C1NC[C@@H]2C[C@H]1CN2,16.0,0.29996344059585694
C1C[C@H]2C[C@H](CN2)N1,16.0,0.295524136794364
C1CC2CNC1[C@H]1CNC[C@@H]21,15.0,0.6801701234723891
C1CC2NCC1C1CNCC21,15.0,0.5506425868537247
C1NC[C@H]2N[C@@H]12,10.0,-0.13036748606443901
C1CN[C@@H]2C[C@@H]2N1,7.0,0.0
C1NCC2CNCC12,3.0,0.08425734036090463
C[C@]12CNC[C@@]1(C)CNC2,16.0,-0.07597249123660713
C1CO[C@H]2CNC[C@H]2N1,5.0,0.6276807439758033
C1C[C@@H]2CN[C@@H]2CN1,16.0,-0.4930263395927228
C1C[C@@H]2NC[C@@H]2CN1,16.0,-0.5640931365705365
C1C[C@@H]2CNC[C@@H]2CN1,12.0,0.16120751764197033
C1CN[C@@H]2CCCN[C@@H]2C1,14.0,-0.12115255101442564
FC1(F)CNCCNC1,6.0,0.44767061175219647
FC(F)(F)C1CCNCCN1,14.0,0.2930155557811673
c1n[nH]c2c1CNC2,9.0,0.853064201263873
c1noc2c1CNC2,9.0,0.8007244067481899
c1[nH]nc2c1CNC2,9.0,0.8184514951132394
C1CNCCN1,17.0,0.0
C1CNOCN1,10.0,0.12048357164642619
C1CCNCC1,0.0,0.5088339439672558
C1CCNNC1,4.0,-0.16714619789321145
C1CCOCC1,11.0,-0.1589195426148371
C1CNCNC1,4.0,0.39942920115086994
C1CNCOC1,8.0,0.3716481540573881
C1CCOC1,11.0,0.1563167397012644
C1CCNC1,0.0,0.3551077365174207
c1cnoc1,11.0,0.3377257474662543
c1ccoc1,11.0,0.22989620830444293
c1cc[nH]c1,11.0,0.2404917060303759
c1ccncc1,11.0,0.13697561079157625
C1CC2(C1)COC2,11.0,0.2415113543448795
C1CC2(C1)CCO2,11.0,0.2917833347684549
C1CC2(C1)CCN2,0.0,0.512610440113282
C1CC2(C1)CNN2,8.0,-0.04108437954887917
C1OCC12CO2,11.0,-0.022455232245137673
C1NC12COC2,10.0,0.236700018925067
C1CC12COC2,11.0,0.35240926490324986
C1NCC12CO2,11.0,-0.13646995498508815
C1NCC12CN2,10.0,0.3064362977992299
C1CC12CNC2,11.0,-0.42364482642157303
C1CC2(C1)CO2,11.0,0.39612610993947567
C1CC2(C1)CN2,11.0,-0.19495522031378018
C1CC2(C1)CC2,11.0,-0.11916970943776813
