size,inertia,dbs,silhouette,dunno
2,151.96068539924028,1.1333587056615841,0.34958348462578154,0.048765255928031694
3,128.67446889865315,1.0708036536612648,0.3552770151989793,0.12552534048814432
4,108.5747972481298,0.9062541300000987,0.3670395279847936,0.10484422693776833
5,98.17673517627797,0.889530369481224,0.3656769470247216,0.061112947614472043
6,89.7527000472946,0.8663594995949477,0.35921720562117065,0.07788270236489266
7,83.69959595881937,0.8497989110558622,0.33818080346890483,0.08121595499650364
8,80.45683006723542,0.8355116954387236,0.31682860767230253,0.18497301487912735
9,76.22777048262472,0.8687041174144847,0.3047397724391882,0.09455054964751483
10,74.70254471749567,0.902018572349918,0.2779533306056412,0.09455054964751483
11,73.90774290066334,1.0206452562643256,0.2472180406978451,0.07409835799736283
12,68.818700327307,0.9158251706846802,0.26406574039203295,0.07249311886056752
13,62.221965337823136,0.8638530886708249,0.29664264781646826,0.0619390827231733
14,61.40958209954624,0.85416307810266,0.2789159613886147,0.0619390827231733
15,59.829048320878385,0.868496590920383,0.2813369932227951,0.0619390827231733
16,56.578656717310295,0.9034549193861376,0.27928891534701483,0.0619390827231733
17,59.25009469638759,0.9107810037524118,0.19878112166668271,0.048888233398428405
18,58.55442635709912,0.8007211755107874,0.2052446637648215,0.04071675106416527
19,55.477826869901136,0.7290353402591638,0.24700849621966126,0.04071675106416527
20,56.11445317067181,0.8444786660499674,0.23848601072478187,0.06171309918797374
