smiles,cluster,silhouette
C1NCC12CNO2,1.0,0.104561549383862
C1NCC12CNC2,4.0,0.516313792907112
C1NCC12COC2,4.0,0.28385016287119774
C1CC2(CNC2)N1,4.0,0.47309024615631995
C1CNC2(C1)CNC2,4.0,0.2326661446526408
C1CSC2(CNC2)N1,2.0,0.3422297584579345
C1CC2(CCN2)CN1,4.0,0.24809027642473433
C1CNC2(C1)CCNC2,2.0,0.49349022191115655
C1CCC2(CCNC2)NC1,2.0,0.6791498515249366
C1CC2(CCN1)NCCO2,1.0,0.11803684309189894
C1CNCC2(C1)CNC2,2.0,0.507592944705762
C1CC2(CCN1)CCN2,2.0,0.5345480235217693
C1COCC2(CNC2)N1,1.0,0.2444907952706837
C1COC2(CN1)CNC2,1.0,0.27478753370620745
C1CNC2(CNC2)OC1,1.0,0.448415387818788
C1CNCC2(C1)CCCN2,2.0,0.6654481412847711
C1COC2(CCNC2)CN1,1.0,0.4212753556559989
C1CCC2(CCNCC2)NC1,2.0,0.6138922265530018
C1CCC2(CNC1)CNC2,2.0,0.6627981450931427
C1CNC2(CC2)CN1,4.0,0.05518359036320819
C1CCC2(C1)CNCCN2,2.0,0.6919730420117132
C1CC2CNC1CN2,3.0,0.4349358352944841
C1CC2CNCC1N2,3.0,0.5240219852419078
C1NC[C@@H]2C[C@H]1CN2,3.0,0.5398972068522898
C1C[C@H]2C[C@H](CN2)N1,3.0,0.5374447512881894
C1CC2CNC1[C@H]1CNC[C@@H]21,2.0,0.19366282523429557
C1CC2NCC1C1CNCC21,2.0,0.4224054118498681
C1NC[C@H]2N[C@@H]12,4.0,0.34979586103279875
C1CN[C@@H]2C[C@@H]2N1,4.0,0.35610133086449164
C1NCC2CNCC12,4.0,-0.007897213003829841
C[C@]12CNC[C@@]1(C)CNC2,3.0,0.32446157849410767
C1CO[C@H]2CNC[C@H]2N1,1.0,0.4669127715223874
C1C[C@@H]2CN[C@@H]2CN1,3.0,0.1839978220877639
C1C[C@@H]2NC[C@@H]2CN1,3.0,0.11879751238222885
C1C[C@@H]2CNC[C@@H]2CN1,2.0,0.5116243449458945
C1CN[C@@H]2CCCN[C@@H]2C1,2.0,0.6754214912528392
FC1(F)CNCCNC1,2.0,0.3381810951673074
FC(F)(F)C1CCNCCN1,2.0,0.5030141925038745
c1n[nH]c2c1CNC2,1.0,0.4413579683185098
c1noc2c1CNC2,1.0,0.37771979716316634
c1[nH]nc2c1CNC2,1.0,0.45954694172275723
C1CNCCN1,4.0,0.30721302059245764
C1CNOCN1,4.0,0.23526173602523906
C1CCNCC1,4.0,0.0335380369971911
C1CCNNC1,4.0,0.43652062604975883
C1CCOCC1,0.0,0.4210141632250781
C1CNCNC1,4.0,0.44577421274539575
C1CNCOC1,4.0,0.26647255754255167
C1CCOC1,0.0,0.41323982817197535
C1CCNC1,0.0,-0.027851006485959773
c1cnoc1,0.0,0.4484674365335208
c1ccoc1,0.0,0.4597876494335442
c1cc[nH]c1,0.0,0.4621806926476403
c1ccncc1,0.0,0.4181745198690685
C1CC2(C1)COC2,0.0,0.4718066045093702
C1CC2(C1)CCO2,0.0,0.5119134366103234
C1CC2(C1)CCN2,0.0,0.09639659336203689
C1CC2(C1)CNN2,4.0,0.4571862594017135
C1OCC12CO2,0.0,0.23854393402269125
C1NC12COC2,0.0,-0.09177663626470225
C1CC12COC2,0.0,0.4704832892073815
C1NCC12CO2,0.0,0.17840027473646483
C1NCC12CN2,4.0,0.22268556966291347
C1CC12CNC2,0.0,0.2371937368245979
C1CC2(C1)CO2,0.0,0.4822358780160236
C1CC2(C1)CN2,0.0,0.1823797816534724
C1CC2(C1)CC2,0.0,0.35982571198442814
