smiles,cluster,silhouette
C1NCC12CNO2,5.0,0.16445627349807276
C1NCC12CNC2,3.0,0.4611450084182548
C1NCC12COC2,5.0,0.23521098209225427
C1CC2(CNC2)N1,3.0,0.36851138726882493
C1CNC2(C1)CNC2,2.0,0.23394701302235305
C1CSC2(CNC2)N1,2.0,0.6719714445036616
C1CC2(CCN2)CN1,2.0,0.25738668857330077
C1CNC2(C1)CCNC2,2.0,0.5044176129041203
C1CCC2(CCNC2)NC1,6.0,0.35631039500413536
C1CC2(CCN1)NCCO2,1.0,0.01696240365499529
C1CNCC2(C1)CNC2,2.0,0.5442018304400534
C1CC2(CCN1)CCN2,2.0,0.5437409077356286
C1COCC2(CNC2)N1,1.0,0.2563386885167279
C1COC2(CN1)CNC2,1.0,0.29721675293164856
C1CNC2(CNC2)OC1,1.0,0.45251284094740246
C1CNCC2(C1)CCCN2,6.0,0.37091627843458275
C1COC2(CCNC2)CN1,1.0,0.36657409776562977
C1CCC2(CCNCC2)NC1,6.0,0.49424026656534764
C1CCC2(CNC1)CNC2,6.0,0.3618278633880312
C1CNC2(CC2)CN1,2.0,0.4813502749898674
C1CCC2(C1)CNCCN2,6.0,0.35859620989750635
C1CC2CNC1CN2,4.0,0.3775945854503661
C1CC2CNCC1N2,4.0,0.4264876884898496
C1NC[C@@H]2C[C@H]1CN2,4.0,0.4483543474391133
C1C[C@H]2C[C@H](CN2)N1,4.0,0.4532170939276011
C1CC2CNC1[C@H]1CNC[C@@H]21,6.0,0.1583169096153503
C1CC2NCC1C1CNCC21,6.0,0.28504804442376935
C1NC[C@H]2N[C@@H]12,3.0,0.2805048685280509
C1CN[C@@H]2C[C@@H]2N1,3.0,0.3274672901538793
C1NCC2CNCC12,3.0,0.01657531621944772
C[C@]12CNC[C@@]1(C)CNC2,4.0,0.3185647610219294
C1CO[C@H]2CNC[C@H]2N1,1.0,0.4791288350298097
C1C[C@@H]2CN[C@@H]2CN1,4.0,-0.02602601749735248
C1C[C@@H]2NC[C@@H]2CN1,4.0,-0.1036101112430775
C1C[C@@H]2CNC[C@@H]2CN1,2.0,0.4253685453893435
C1CN[C@@H]2CCCN[C@@H]2C1,6.0,0.46272776288210926
FC1(F)CNCCNC1,2.0,0.5829242636321702
FC(F)(F)C1CCNCCN1,6.0,0.3651366963901709
c1n[nH]c2c1CNC2,1.0,0.44035582362908926
c1noc2c1CNC2,1.0,0.3736071305255439
c1[nH]nc2c1CNC2,1.0,0.45684855024616483
C1CNCCN1,3.0,0.45390674558731625
C1CNOCN1,5.0,-0.0817330589382216
C1CCNCC1,0.0,0.018466587694635272
C1CCNNC1,3.0,0.42346904399588753
C1CCOCC1,0.0,0.5245544644483723
C1CNCNC1,3.0,0.49078767023862113
C1CNCOC1,5.0,-0.1434055210093946
C1CCOC1,0.0,0.3912154983719573
C1CCNC1,0.0,0.07081119900565862
c1cnoc1,0.0,0.36595634572555374
c1ccoc1,0.0,0.503574532149648
c1cc[nH]c1,0.0,0.5087662220051538
c1ccncc1,0.0,0.4864869394545955
C1CC2(C1)COC2,0.0,0.46479868978083894
C1CC2(C1)CCO2,0.0,0.5278324193970879
C1CC2(C1)CCN2,0.0,0.24057153042995186
C1CC2(C1)CNN2,3.0,0.13190030914272333
C1OCC12CO2,5.0,0.21794710172079035
C1NC12COC2,5.0,0.4766955046923089
C1CC12COC2,0.0,0.32886978921574317
C1NCC12CO2,5.0,0.29472489210192643
C1NCC12CN2,5.0,0.24695788347047376
C1CC12CNC2,0.0,0.3531804141265539
C1CC2(C1)CO2,0.0,0.2994646035139648
C1CC2(C1)CN2,0.0,0.26478936902955125
C1CC2(C1)CC2,0.0,0.4510970522592001
