smiles,cluster,silhouette
C1NCC12CNO2,5.0,0.15784543960403705
C1NCC12CNC2,3.0,0.33429260814276845
C1NCC12COC2,5.0,0.3243971164109081
C1CC2(CNC2)N1,5.0,-0.3768332871918795
C1CNC2(C1)CNC2,3.0,0.4672113435425264
C1CSC2(CNC2)N1,2.0,0.1724168960121855
C1CC2(CCN2)CN1,3.0,0.431767580509913
C1CNC2(C1)CCNC2,2.0,0.3818328269648038
C1CCC2(CCNC2)NC1,2.0,0.6368468929637973
C1CC2(CCN1)NCCO2,1.0,0.19320245993341154
C1CNCC2(C1)CNC2,2.0,0.40483830566569495
C1CC2(CCN1)CCN2,2.0,0.4388719733187558
C1COCC2(CNC2)N1,1.0,0.2442337326179656
C1COC2(CN1)CNC2,1.0,0.28407719908977447
C1CNC2(CNC2)OC1,1.0,0.48002760735661654
C1CNCC2(C1)CCCN2,2.0,0.6301377398012199
C1COC2(CCNC2)CN1,1.0,0.44977989433428917
C1CCC2(CCNCC2)NC1,2.0,0.5862904191155311
C1CCC2(CNC1)CNC2,2.0,0.6286669226529942
C1CNC2(CC2)CN1,3.0,0.2990397071091075
C1CCC2(C1)CNCCN2,2.0,0.651942740271034
C1CC2CNC1CN2,4.0,0.37729825825603197
C1CC2CNCC1N2,4.0,0.4091375555292543
C1NC[C@@H]2C[C@H]1CN2,4.0,0.4352246119773757
C1C[C@H]2C[C@H](CN2)N1,4.0,0.43770152489374337
C1CC2CNC1[C@H]1CNC[C@@H]21,2.0,0.19366282523429557
C1CC2NCC1C1CNCC21,2.0,0.4224054118498681
C1NC[C@H]2N[C@@H]12,3.0,0.16574511066299194
C1CN[C@@H]2C[C@@H]2N1,3.0,0.5624062352714967
C1NCC2CNCC12,3.0,0.275054499845217
C[C@]12CNC[C@@]1(C)CNC2,4.0,0.32446157849410767
C1CO[C@H]2CNC[C@H]2N1,1.0,0.489166553856875
C1C[C@@H]2CN[C@@H]2CN1,4.0,-0.09517806018591593
C1C[C@@H]2NC[C@@H]2CN1,4.0,-0.17219507952707985
C1C[C@@H]2CNC[C@@H]2CN1,2.0,0.4343963164169881
C1CN[C@@H]2CCCN[C@@H]2C1,2.0,0.6406138357947514
FC1(F)CNCCNC1,2.0,0.17976582404656097
FC(F)(F)C1CCNCCN1,2.0,0.47124049996279466
c1n[nH]c2c1CNC2,1.0,0.4681156956981501
c1noc2c1CNC2,1.0,0.39161373933671545
c1[nH]nc2c1CNC2,1.0,0.4712662224413955
C1CNCCN1,3.0,0.47530202277142175
C1CNOCN1,5.0,0.061535446355219056
C1CCNCC1,0.0,0.000976265151313757
C1CCNNC1,3.0,0.6137782883219832
C1CCOCC1,0.0,0.5364763178444374
C1CNCNC1,3.0,0.6098687027203322
C1CNCOC1,5.0,-0.017510248263809616
C1CCOC1,0.0,0.39247626497140203
C1CCNC1,0.0,0.10072474387877044
c1cnoc1,0.0,0.3706602455923504
c1ccoc1,0.0,0.5034796547891935
c1cc[nH]c1,0.0,0.5073989835181459
c1ccncc1,0.0,0.4935972374229211
C1CC2(C1)COC2,0.0,0.4641033794717575
C1CC2(C1)CCO2,0.0,0.5274631410465654
C1CC2(C1)CCN2,0.0,0.25118856543846496
C1CC2(C1)CNN2,3.0,0.46028515281504895
C1OCC12CO2,5.0,0.18141378498374724
C1NC12COC2,5.0,0.4843889955680632
C1CC12COC2,0.0,0.33909330850655034
C1NCC12CO2,5.0,0.2678850234637383
C1NCC12CN2,5.0,0.32591914117306514
C1CC12CNC2,0.0,0.3722774211057429
C1CC2(C1)CO2,0.0,0.31403263476564547
C1CC2(C1)CN2,0.0,0.2712062564347143
C1CC2(C1)CC2,0.0,0.45674276869057745
