smiles,cluster,silhouette
C1NCC12CNO2,1.0,0.44452523782062164
C1NCC12CNC2,1.0,0.1664797882739208
C1NCC12COC2,1.0,0.12800430716094208
C1CC2(CNC2)N1,1.0,0.2032393124790132
C1CNC2(C1)CNC2,2.0,0.3481040589977463
C1CSC2(CNC2)N1,2.0,0.41277302809063826
C1CC2(CCN2)CN1,2.0,0.19383466445656514
C1CNC2(C1)CCNC2,2.0,0.49112171002390537
C1CCC2(CCNC2)NC1,2.0,0.46754571524716526
C1CC2(CCN1)NCCO2,1.0,0.10637485265856293
C1CNCC2(C1)CNC2,2.0,0.4709926421221669
C1CC2(CCN1)CCN2,2.0,0.4596200071282435
C1COCC2(CNC2)N1,1.0,0.397039599187263
C1COC2(CN1)CNC2,1.0,0.40660241236397765
C1CNC2(CNC2)OC1,1.0,0.4459414073979658
C1CNCC2(C1)CCCN2,2.0,0.38145264857948985
C1COC2(CCNC2)CN1,1.0,0.3153042906039286
C1CCC2(CCNCC2)NC1,2.0,0.4051796011299136
C1CCC2(CNC1)CNC2,2.0,0.37465346482622125
C1CNC2(CC2)CN1,2.0,0.32644386536298564
C1CCC2(C1)CNCCN2,2.0,0.4409239955490545
C1CC2CNC1CN2,2.0,0.2909942073651005
C1CC2CNCC1N2,2.0,0.4027074626892449
C1NC[C@@H]2C[C@H]1CN2,2.0,0.39775181077813515
C1C[C@H]2C[C@H](CN2)N1,2.0,0.41787383098336184
C1CC2CNC1[C@H]1CNC[C@@H]21,2.0,0.46298249416206105
C1CC2NCC1C1CNCC21,2.0,0.47446899875296167
C1NC[C@H]2N[C@@H]12,1.0,0.15249190767313
C1CN[C@@H]2C[C@@H]2N1,2.0,0.3193149856988635
C1NCC2CNCC12,2.0,0.33881841297942056
C[C@]12CNC[C@@]1(C)CNC2,2.0,0.381571187541715
C1CO[C@H]2CNC[C@H]2N1,1.0,0.460688514195739
C1C[C@@H]2CN[C@@H]2CN1,2.0,0.3892284231561987
C1C[C@@H]2NC[C@@H]2CN1,2.0,0.3832455999338798
C1C[C@@H]2CNC[C@@H]2CN1,2.0,0.37095452889430847
C1CN[C@@H]2CCCN[C@@H]2C1,2.0,0.41816142266509865
FC1(F)CNCCNC1,2.0,0.35832028332865085
FC(F)(F)C1CCNCCN1,2.0,0.2523740069621619
c1n[nH]c2c1CNC2,1.0,0.35725157814283187
c1noc2c1CNC2,1.0,0.30049483374656544
c1[nH]nc2c1CNC2,1.0,0.3689628693760269
C1CNCCN1,2.0,0.24161492846617055
C1CNOCN1,1.0,0.39791291441371146
C1CCNCC1,0.0,0.0882288515940944
C1CCNNC1,2.0,0.25614278068755614
C1CCOCC1,0.0,0.5701468860382806
C1CNCNC1,2.0,0.1894509606532242
C1CNCOC1,0.0,-0.0035668096965490613
C1CCOC1,0.0,0.539472753557869
C1CCNC1,0.0,0.2934966529983878
c1cnoc1,0.0,0.46205189536776675
c1ccoc1,0.0,0.5096548435026873
c1cc[nH]c1,0.0,0.5040475448531254
c1ccncc1,0.0,0.4737233747955552
C1CC2(C1)COC2,0.0,0.5692590640013848
C1CC2(C1)CCO2,0.0,0.5804334719197551
C1CC2(C1)CCN2,0.0,0.29678486254452363
C1CC2(C1)CNN2,2.0,0.02111977043321332
C1OCC12CO2,0.0,0.2031080747749031
C1NC12COC2,0.0,-0.09395982592309614
C1CC12COC2,0.0,0.5413967258503676
C1NCC12CO2,0.0,0.2355984854189638
C1NCC12CN2,1.0,0.34839381881630604
C1CC12CNC2,0.0,0.4851767395686017
C1CC2(C1)CO2,0.0,0.527537946490078
C1CC2(C1)CN2,0.0,0.4379420246245513
C1CC2(C1)CC2,0.0,0.4435773140944325
