smiles,cluster,silhouette
C1NCC12CNO2,10.0,0.20820140837414022
C1NCC12CNC2,8.0,0.1639652275665212
C1NCC12COC2,10.0,0.05122144123479143
C1CC2(CNC2)N1,0.0,-0.4978819830171538
C1CNC2(C1)CNC2,3.0,0.0
C1CSC2(CNC2)N1,6.0,0.2588183821664884
C1CC2(CCN2)CN1,1.0,0.0
C1CNC2(C1)CCNC2,12.0,0.41551880648410605
C1CCC2(CCNC2)NC1,13.0,0.21244267189725927
C1CC2(CCN1)NCCO2,5.0,0.2093853583924529
C1CNCC2(C1)CNC2,12.0,0.5137208632266497
C1CC2(CCN1)CCN2,12.0,0.3974750771538509
C1COCC2(CNC2)N1,5.0,0.5109726126147128
C1COC2(CN1)CNC2,5.0,0.5299425182442336
C1CNC2(CNC2)OC1,5.0,0.6303743654796995
C1CNCC2(C1)CCCN2,14.0,0.32608151552786646
C1COC2(CCNC2)CN1,5.0,0.5866645219539701
C1CCC2(CCNCC2)NC1,13.0,0.11818961421315607
C1CCC2(CNC1)CNC2,14.0,0.2764662466130705
C1CNC2(CC2)CN1,2.0,0.0
C1CCC2(C1)CNCCN2,13.0,-0.07991227886034398
C1CC2CNC1CN2,18.0,0.33116350179539256
C1CC2CNCC1N2,18.0,-0.2427912410783962
C1NC[C@@H]2C[C@H]1CN2,18.0,-0.08164178187675476
C1C[C@H]2C[C@H](CN2)N1,18.0,0.06450936805311665
C1CC2CNC1[C@H]1CNC[C@@H]21,15.0,0.6801701234723891
C1CC2NCC1C1CNCC21,15.0,0.5506425868537247
C1NC[C@H]2N[C@@H]12,10.0,-0.21795059696837396
C1CN[C@@H]2C[C@@H]2N1,7.0,0.0
C1NCC2CNCC12,16.0,0.5731818769040364
C[C@]12CNC[C@@]1(C)CNC2,18.0,0.015832632774295047
C1CO[C@H]2CNC[C@H]2N1,5.0,0.6276807439758033
C1C[C@@H]2CN[C@@H]2CN1,16.0,0.7850725847107646
C1C[C@@H]2NC[C@@H]2CN1,16.0,0.8140912642149862
C1C[C@@H]2CNC[C@@H]2CN1,12.0,0.16120751764197033
C1CN[C@@H]2CCCN[C@@H]2C1,14.0,-0.12115255101442564
FC1(F)CNCCNC1,6.0,0.44767061175219647
FC(F)(F)C1CCNCCN1,14.0,0.2930155557811673
c1n[nH]c2c1CNC2,9.0,0.853064201263873
c1noc2c1CNC2,9.0,0.8007244067481899
c1[nH]nc2c1CNC2,9.0,0.8184514951132394
C1CNCCN1,17.0,0.0
C1CNOCN1,10.0,0.20945268887947416
C1CCNCC1,0.0,-0.1452391567281429
C1CCNNC1,4.0,0.0
C1CCOCC1,19.0,0.3621206083242909
C1CNCNC1,8.0,-0.7198620809176746
C1CNCOC1,0.0,0.045045418227195634
C1CCOC1,19.0,0.3263449008358891
C1CCNC1,19.0,-0.16887928196702226
c1cnoc1,19.0,0.28461774563858505
c1ccoc1,19.0,0.4362196172594254
c1cc[nH]c1,19.0,0.42825198675213716
c1ccncc1,19.0,0.3752869672588652
C1CC2(C1)COC2,19.0,0.39058717282038635
C1CC2(C1)CCO2,19.0,0.4629433199842256
C1CC2(C1)CCN2,19.0,-0.10388285997551122
C1CC2(C1)CNN2,0.0,-0.272466438987332
C1OCC12CO2,11.0,0.4906597147969752
C1NC12COC2,11.0,0.1808972563112362
C1CC12COC2,19.0,0.17728087552665178
C1NCC12CO2,11.0,0.4160948511862963
C1NCC12CN2,10.0,0.38351139404863943
C1CC12CNC2,19.0,0.0723685848443012
C1CC2(C1)CO2,19.0,0.0939048138276191
C1CC2(C1)CN2,19.0,-0.06503638208682266
C1CC2(C1)CC2,19.0,0.33375233331803067
