smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,3Dscore,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C1NCC12CNO2,0.4036054021853153,-1.1368,33.29,10.782934700691623,4.8375885837366335,24.688399999999994,2,1,3.87714,1.3214929811682792,81.24483479733695,248.38622406263784,249.438372777857,0.32571105196268807,0.995781929205591,1.7005434490428177,0.012256556760679523,0.9454693599632721,0.3353583524615936,0.507082034122865,0.7180260788424387
C1NCC12CNC2,0.41340603570093953,-0.8208,24.06,10.619626706576751,0.0,28.172399999999993,2,0,1.99457,1.3305659091590252,85.55244274945318,251.38027186233464,253.22512195186465,0.33785132411039287,0.9927145850486323,1.7339084049633888,0.01160357966581822,0.941199491498404,0.31937175934329254,0.6610153345842622,0.7660126382791307
C1NCC12COC2,0.4461672752226375,-0.39380000000000015,21.259999999999998,5.309813353288376,4.736862953800049,26.12169999999999,1,1,2.52334,1.321107750048181,82.89596556075972,255.6439382276198,256.25457406939967,0.32349067665153003,0.9976170733966508,1.73204567932508,0.012034567263293822,0.9462313576073957,0.33860230854460127,0.7375601311158674,0.7983535628243812
C1CC2(CNC2)N1,0.4193266149980082,-0.6783000000000001,24.06,10.619626706576751,0.0,28.22039999999999,2,0,2.2648,1.338306416923171,86.13887092450211,245.7272598236754,247.97469888185492,0.3473695958213145,0.9909368211018565,1.718685682653002,0.011503944856328335,0.937728299615052,0.3073288252325111,0.5393553202043568,0.6997060027864932
C1CNC2(C1)CNC2,0.4498216249870977,-0.2882,24.06,10.619626706576751,0.0,32.83739999999999,2,0,1.15946,1.3047940114731742,120.9850193314624,313.077066085014,332.6671348885176,0.3636819109648644,0.9411121005083097,1.8486557018387997,0.007778749019578589,0.9315231975839059,0.27928598829884654,0.6057987568586558,0.8346035222016279
C1CSC2(CNC2)N1,0.4673399869185789,-0.3777000000000001,24.06,10.619626706576751,0.0,36.0614,2,0,1.33977,1.214092407419406,153.38930557133835,348.68008252829526,413.5347400506349,0.3709224176729547,0.8431699897464513,1.8750234257002243,0.005496928137237765,0.9286638574143231,0.2624745400412864,0.44663173306481974,0.7125762188534176
C1CC2(CCN2)CN1,0.4498216249870977,-0.2882000000000002,24.06,10.619626706576751,0.0,32.83739999999999,2,0,2.3274,1.3137811579138954,120.12226018714408,314.3548488243165,330.70736811399456,0.3632282548532092,0.9505529030606861,1.8467925029293681,0.0079132119357376,0.9317001850790264,0.28125966423205917,0.5534545128753094,0.8053844941912092
C1COC2(CNC2)N1,0.4194295200515884,-1.0942999999999996,33.29,10.619626706576751,4.736862953800049,29.55539999999999,2,1,3.25985,1.2778291550606502,112.14610951078465,305.03397844840435,326.4756374567054,0.34350529302713007,0.9343238620335201,1.8048321219924512,0.00833130873740805,0.9391507406494154,0.30234726077878693,0.5125490317690493,0.8058765456074997
C1CNC2(C1)CCNC2,0.4808803097707718,0.10189999999999994,24.06,10.619626706576751,0.0,37.4544,2,0,0.55617,1.3122778361235379,152.7388001387393,407.41987088285765,426.8598124588485,0.3578195831060205,0.9544582530175174,1.9774832137599516,0.006248957384440244,0.9337907399122319,0.2881993387045321,0.5241205217988428,0.8644053480638937
C1CCC2(CCNC2)NC1,0.5115438105155194,0.4920000000000001,24.06,10.619626706576751,0.0,42.071400000000004,2,0,1.04628,1.2880894261728164,193.40243824952105,514.0300443726529,549.2106900714992,0.3521461649341583,0.9359432612386581,2.1167546534164057,0.004839356058330232,0.9359450189632746,0.29210518358407467,0.49392395354514396,0.8117246509001946
C1CC2(CCN1)NCCO2,0.48636068627881146,-0.3141000000000005,33.29,10.619626706576751,4.736862953800049,38.78939999999999,2,1,2.12025,1.2979887365637066,188.07739747789054,492.09627625412884,524.021245001486,0.3589117793828325,0.9390769571808741,2.057692833548631,0.0049930346217772785,0.9333714880047757,0.28454179408068375,0.43952779958442384,0.8017906248718152
C1CNCC2(C1)CNC2,0.4756721436325693,-0.040600000000000136,24.06,10.619626706576751,0.0,37.406400000000005,2,0,0.36606,1.2152218406528088,151.92736765384495,417.3723492800567,468.47390154548066,0.32430273522738695,0.8909191054254217,2.0276896103245043,0.00586411203711048,0.9459533476467195,0.321779544622912,0.5194255345648197,0.7996633485335639
C1CC2(CCN1)CCN2,0.4808803097707718,0.10189999999999994,24.06,10.619626706576751,0.0,37.45439999999999,2,0,1.33847,1.2512605858379287,158.36957900255783,401.1894167335848,447.19621321838736,0.35413890887581906,0.8971216769621095,1.9971565336958528,0.005664734872772631,0.9351928321048254,0.28513257543680387,0.5091367069546126,0.766594859420849
C1COCC2(CNC2)N1,0.43645733496146494,-1.0517999999999994,33.29,10.619626706576751,4.736862953800049,34.42239999999999,2,1,1.57706,1.2187306374746212,144.9258060415482,406.48818102338043,452.4494339516522,0.3203138188853048,0.8984168185893164,1.9788854436400418,0.0061991500556619495,0.9473114891265239,0.3276595249564688,0.5318724170649928,0.794476900900061
