smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,PMI1,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C1NCC12CNO2,0.4036054021853153,-1.1368,33.29,10.782934700691625,4.8375885837366335,24.688399999999994,2,1,3.87714,81.24483479733695,0.0122565567606795,0.945469359963272,0.3353583524615936,0.507082034122865,0.7180260788424387
C1NCC12CNC2,0.4134060357009395,-0.8208,24.06,10.619626706576751,0.0,28.172399999999996,2,0,1.99457,85.55244274945318,0.0116035796658182,0.941199491498404,0.3193717593432925,0.6610153345842622,0.7660126382791307
C1NCC12COC2,0.4461672752226375,-0.3938000000000001,21.26,5.309813353288376,4.736862953800049,26.12169999999999,1,1,2.52334,82.89596556075972,0.0120345672632938,0.9462313576073956,0.3386023085446012,0.7375601311158674,0.7983535628243812
C1CC2(CNC2)N1,0.4193266149980082,-0.6783000000000001,24.06,10.619626706576751,0.0,28.22039999999999,2,0,2.2648,86.13887092450211,0.0115039448563283,0.937728299615052,0.3073288252325111,0.5393553202043568,0.6997060027864932
C1CNC2(C1)CNC2,0.4498216249870977,-0.2882,24.06,10.619626706576751,0.0,32.83739999999999,2,0,1.15946,120.9850193314624,0.0077787490195785,0.931523197583906,0.2792859882988465,0.6057987568586558,0.8346035222016279
C1CSC2(CNC2)N1,0.4673399869185789,-0.3777000000000001,24.06,10.619626706576751,0.0,36.0614,2,0,1.33977,153.38930557133835,0.0054969281372377,0.9286638574143232,0.2624745400412864,0.4466317330648197,0.7125762188534176
C1CC2(CCN2)CN1,0.4498216249870977,-0.2882000000000002,24.06,10.619626706576751,0.0,32.83739999999999,2,0,2.3274,120.12226018714408,0.0079132119357376,0.9317001850790264,0.2812596642320591,0.5534545128753094,0.8053844941912092
C1COC2(CNC2)N1,0.4194295200515884,-1.0942999999999996,33.29,10.619626706576751,4.736862953800049,29.55539999999999,2,1,3.25985,112.14610951078464,0.008331308737408,0.9391507406494154,0.3023472607787869,0.5125490317690493,0.8058765456074997
C1CNC2(C1)CCNC2,0.4808803097707718,0.1018999999999999,24.06,10.619626706576751,0.0,37.4544,2,0,0.55617,152.7388001387393,0.0062489573844402,0.933790739912232,0.2881993387045321,0.5241205217988428,0.8644053480638937
C1CCC2(CCNC2)NC1,0.5115438105155194,0.4920000000000001,24.06,10.619626706576751,0.0,42.0714,2,0,1.04628,193.40243824952103,0.0048393560583302,0.9359450189632746,0.2921051835840746,0.4939239535451439,0.8117246509001946
C1CC2(CCN1)NCCO2,0.4863606862788114,-0.3141000000000005,33.29,10.619626706576751,4.736862953800049,38.78939999999999,2,1,2.12025,188.0773974778905,0.0049930346217772,0.9333714880047757,0.2845417940806837,0.4395277995844238,0.8017906248718152
C1CNCC2(C1)CNC2,0.4756721436325693,-0.0406000000000001,24.06,10.619626706576751,0.0,37.406400000000005,2,0,0.36606,151.92736765384495,0.0058641120371104,0.9459533476467196,0.321779544622912,0.5194255345648197,0.7996633485335639
C1CC2(CCN1)CCN2,0.4808803097707718,0.1018999999999999,24.06,10.619626706576751,0.0,37.45439999999999,2,0,1.33847,158.36957900255783,0.0056647348727726,0.9351928321048254,0.2851325754368038,0.5091367069546126,0.766594859420849
C1COCC2(CNC2)N1,0.4364573349614649,-1.0517999999999994,33.29,10.619626706576751,4.736862953800049,34.42239999999999,2,1,1.57706,144.9258060415482,0.0061991500556619,0.947311489126524,0.3276595249564688,0.5318724170649928,0.794476900900061
C1COC2(CN1)CNC2,0.4364573349614649,-1.0517999999999994,33.29,10.619626706576751,4.736862953800049,34.4224,2,1,1.44448,146.26964815953085,0.0060864810109983,0.944655780107832,0.3168524230949708,0.4592496391666065,0.7506286285041877
C1CNC2(CNC2)OC1,0.4521903173303354,-0.7042000000000002,33.29,10.619626706576751,4.736862953800049,34.1724,2,1,2.81085,143.1525876575184,0.0062634132941499,0.946046927132388,0.3226274404257823,0.4010909388712562,0.73218991330544
C1CNCC2(C1)CCCN2,0.5115438105155194,0.4919999999999998,24.06,10.619626706576751,0.0,42.07140000000001,2,0,1.85926,179.93675956697152,0.0050410974088537,0.9515897993464688,0.3458628914892632,0.4123096416721919,0.7905692859200572
C1COC2(CCNC2)CN1,0.4708013141352857,-0.6616999999999997,33.29,10.619626706576751,4.736862953800049,39.03939999999999,2,1,3.5039,179.48563769373143,0.0052800790290172,0.9434160579200516,0.3191535886033415,0.4903129035513154,0.8205128329524695
C1CCC2(CCNCC2)NC1,0.5410710897552415,0.8821,24.06,10.619626706576751,0.0,46.688400000000016,2,0,1.6988,231.41411754028223,0.0042136920234155,0.9396231199095884,0.3105659063590679,0.5158190387863121,0.9459749227664456
C1CCC2(CNC1)CNC2,0.5071124521677052,0.3495,24.06,10.619626706576751,0.0,42.02340000000001,2,0,2.27418,195.97080681506117,0.0043736156140161,0.9486243261650348,0.3302516520558524,0.4171696230507331,0.7535414238635372
C1CNC2(CC2)CN1,0.4498216249870977,-0.2882000000000002,24.06,10.619626706576751,0.0,32.83739999999999,2,0,2.02535,137.68494297882074,0.0058817908460622,0.9138033341286076,0.2247244950714984,0.4519797878360933,0.7272347758174275
C1CCC2(C1)CNCCN2,0.5115438105155194,0.4920000000000001,24.06,10.619626706576751,0.0,42.0714,2,0,1.89245,186.2694361921588,0.004993386768939,0.9430583873050196,0.3153365939071716,0.4947245949258554,0.8706640648309153
C1NC2CNC1C2,0.419260623402824,-0.6799,24.06,10.619626706576751,0.0,28.198399999999992,2,0,1.50933,128.85510597634925,0.0067901092466888,0.6640544092758387,0.0277682626093895,0.7897573322916028,0.8444437340365537
C1CC2CNC1CN2,0.4497584829824855,-0.2898,24.06,10.619626706576751,0.0,32.81539999999999,2,0,1.23168,200.1723159995258,0.0049496892614606,0.24788526489957,0.0003523122953102,0.8394320725664226,0.965432265793718
C1CC2CNCC1N2,0.4497584829824855,-0.2898,24.06,10.619626706576751,0.0,32.81539999999999,2,0,2.49174,175.65793153950847,0.0047515311123331,0.6929404452260732,0.0361651701478698,0.6915913273866854,0.8469933019377442
C1NC[C@@H]2C[C@H]1CN2,0.4440282295697078,-0.4323000000000001,24.06,10.619626706576751,0.0,32.76739999999999,2,0,1.89472,174.87520444051825,0.004736045685571,0.695468762148856,0.0372323147706295,0.6835502200317733,0.8691266752879008
C1C[C@H]2C[C@H](CN2)N1,0.4497584829824855,-0.2898,24.06,10.619626706576751,0.0,32.81539999999999,2,0,1.2498,176.60864278161046,0.00465760659702,0.6877661981196347,0.0356997399017624,0.692930348291577,0.8526629058064257
C1CC2CNC1[C@H]1CNC[C@@H]21,0.5180859669285094,0.2037999999999998,24.06,10.619626706576751,0.0,44.36440000000001,2,0,1.97834,263.8018972385215,0.0035032762352903,0.8452202062914537,0.1238857548155776,0.6986639861641911,0.9790535537273164
C1CC2NCC1C1CNCC21,0.5180859669285094,0.2037999999999998,24.06,10.619626706576751,0.0,44.36440000000001,2,0,1.22641,255.8888578835113,0.0035951503762088,0.885656553711507,0.1762304701663601,0.5792205911699667,0.953915183689256
C1NC[C@H]2N[C@@H]12,0.3663863222536218,-1.0699999999999996,33.97,10.619626706576751,0.0,23.581399999999995,2,0,2.51361,84.90368789930993,0.0086387641705185,0.8312010009351798,0.1143585447285095,0.5222988383347112,0.6713874924860138
C1CN[C@@H]2C[C@@H]2N1,0.419260623402824,-0.6799,24.06,10.619626706576751,0.0,28.198399999999992,2,0,0.4048,123.00664306166152,0.0054785677710721,0.8576888958385877,0.1536817120179288,0.4285197478696831,0.6254530752875995
C1NCC2CNCC12,0.4381152748095777,-0.5748,24.06,10.619626706576751,0.0,32.71939999999999,2,0,2.70914,154.17325729389702,0.0051963364740837,0.8419264961602592,0.1167829258981372,0.5417474822757276,0.7575555428322167
