smiles,PC1,PC2,PC3
C1NCC12CNO2,-0.876002359002578,3.1206198991877736,-2.069338449356401
C1NCC12CNC2,-0.11080796056289441,0.35860473397711745,-1.3366241648302584
C1NCC12COC2,-1.589498509850547,0.9376694382432821,-1.2160195758548789
C1CC2(CNC2)N1,-0.3118581883598373,0.5026385897835206,-0.9253796071797074
C1CNC2(C1)CNC2,0.8771441666434895,-0.36222027280860414,-0.12072631454658748
C1CSC2(CNC2)N1,1.2533656775664679,-0.11645543119971948,0.7466282826581987
C1CC2(CCN2)CN1,0.7659372489673306,0.18424617589303405,-0.08095942230627823
C1COC2(CNC2)N1,0.1922945986768011,2.6513642177869876,-1.5326186849096697
C1CNC2(C1)CCNC2,1.4415529644693144,-0.6652400364727881,1.064081859632483
C1CCC2(CCNC2)NC1,2.0223119810030656,-0.566750504203885,2.1222043201254466
C1CC2(CCN1)NCCO2,1.5520845962136667,1.8481201248264651,0.6710291776330045
C1CNCC2(C1)CNC2,1.3098785325487319,-0.5086170749133224,1.1505998532608965
C1CC2(CCN1)CCN2,1.3953862942226218,-0.3111692733427652,1.1593207215226842
C1COCC2(CNC2)N1,0.8644732118494728,2.042969937898592,-0.7089526468239605
C1COC2(CN1)CNC2,0.7535443048527459,2.0346273039274303,-0.5399343800281096
C1CNC2(CNC2)OC1,0.6124364755615422,2.523915200675933,-0.10946491432961274
C1CNCC2(C1)CCCN2,1.6883106351907085,0.08277255890489613,2.4114607999541287
C1COC2(CCNC2)CN1,1.5211924153751504,2.655339805658023,0.14275503424414018
C1CCC2(CCNCC2)NC1,2.799813033378918,-0.4608111281136946,2.8806043532890313
C1CCC2(CNC1)CNC2,1.854470333062346,0.2522674274458601,2.2806362145128722
C1CNC2(CC2)CN1,0.9559673437734496,-0.0676380771821052,0.1534489379890695
C1CCC2(C1)CNCCN2,2.0073072204156324,-0.14466194567938404,2.0673579557456327
C1NC2CNC1C2,1.751878192447468,-1.8574621004985652,-2.759835723540621
C1CC2CNC1CN2,3.5154879164750543,-3.4813431815852147,-3.079017758234311
C1CC2CNCC1N2,2.3855878036694276,-1.4269218985097465,-1.513557927418886
C1NC[C@@H]2C[C@H]1CN2,2.391339036035338,-1.594618570747673,-1.618211455134931
C1C[C@H]2C[C@H](CN2)N1,2.40116936932852,-1.9508301705741016,-1.4310897247648535
C1CC2CNC1[C@H]1CNC[C@@H]21,3.7168323420045892,-1.1591169105789176,0.9645171363755151
C1CC2NCC1C1CNCC21,3.323303918175519,-1.0423648510269812,1.5419438373580165
C1NC[C@H]2N[C@@H]12,0.16172644383750362,0.32197723031736153,-2.8086537805223832
C1CN[C@@H]2C[C@@H]2N1,0.6072035547504345,-0.9105133367585044,-0.7584702219963477
C1NCC2CNCC12,1.5680868195855973,-0.33649234705476494,-0.8863852002662448
C[C@]12CNC[C@H]1CNC2,3.432188734208579,-1.393809791140013,-0.7860411051480223
C[C@]12CNC[C@@]1(C)CNC2,4.8249367818266204,-2.8181142662314635,-0.6534358880523875
C1CO[C@H]2CNC[C@H]2N1,0.7024749234275391,2.9632953381647966,-0.3517596008410264
